E,N,Q,b,c,failures,independent_board,inst_reputations,num_trials,output,permitted_strategies,q,rep,reputation_norm,reputations,run_type,runs_per_trial,seed1,seed2,seed3,seed4,successes,u_a,u_p,u_s,w
0.0,50,1,5.0,1.0,93,true,0.5064000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.507488,Disc,100,3130845861,1564334926,2150181349,366305227,7,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9631999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.5029840000000001,AllC,100,39710085,266441375,2016258181,2193240693,0,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,100,true,0.9819999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,3,stern judging,0.500692,AllD,100,3980614795,437318025,8057705,1281548053,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.737,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.508684,Disc,100,3130660469,323596522,3065684426,1347038019,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.7342,10,output/fixation_paper_multitype_final.csv,123,0.1,4,stern judging,0.508908,Disc,100,3930515362,2526275110,2434496757,2381245198,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,98,true,0.7364,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.507764,Disc,100,3687805086,2491352305,2508920711,1587003306,2,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,99,true,0.9862000000000001,10,output/fixation_paper_multitype_final.csv,123,0.1,1,stern judging,0.49994400000000006,AllD,100,3838909624,564176415,3404334542,3104513964,1,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,100,true,0.7511999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.507984,Disc,100,2821442250,4195959136,4242954019,518784204,0,0.02,0.02,0.0,1.0
0.0,50,2,5.0,1.0,99,true,0.7407999999999998,10,output/fixation_paper_multitype_final.csv,123,0.1,2,stern judging,0.506472,Disc,100,2318692008,4249821368,2023146472,1954785734,1,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,90,true,0.4986,10,output/fixation_paper_multitype_final.csv,123,0.1,6,stern judging,0.508908,Disc,100,1050047780,3965369818,1198075866,1516766800,10,0.02,0.02,0.0,1.0
0.0,50,50,5.0,1.0,98,true,0.9853999999999999,10,output/fixation_paper_multitype_final.csv,123,0.1,5,stern judging,0.50092,AllD,100,770372699,2091145227,3971252322,580848821,2,0.02,0.02,0.0,1.0
0.0,50,1,5.0,1.0,94,true,0.48700000000000004,10,output/fixation_paper_multitype_final.csv,123,0.1,9,stern judging,0.508688,Disc,100,3501276496,1916308487,2884299057,212405882,6,0.02,0.02,0.0,1.0
